time[s],angle[deg],amplitude[mV]
385.90405429,197.095032,-1.041516
385.90416279,199.048706,-0.470838
385.90435489,202.507629,-0.27777
385.90437736,202.912231,-0.848371
385.90473694,209.386841,-0.119941
385.90518,217.364624,-0.145895
385.90599075,231.962952,-0.156169
385.91191851,338.698303,0.249701
385.91198016,339.808411,0.345365
385.91209531,341.881775,0.377494
385.91222315,344.183655,0.291629
385.91226716,344.976135,0.449448
385.9123657,346.750427,1.10775
385.91252475,349.614258,0.364397
385.91252559,349.629395,0.699019
385.912702,352.805847,0.293608
385.9127491,353.653931,0.501906
385.91279306,354.445496,1.305069
385.91291746,356.685425,0.335423
386.32236163,164.270981,-0.612897
386.3224729,166.27449,-0.32388
386.32259353,168.446533,-0.644948
386.32270201,170.399811,-0.1295
386.32281895,172.505402,-0.213677
386.32282777,172.664215,-0.700495
386.32305698,176.791336,-0.586277
386.32324563,180.188126,-0.19032
386.32333631,181.820892,-0.855864
386.32347861,184.383118,-0.200327
386.3235364,185.423676,-0.484206
386.32374608,189.199142,-0.269644
386.32377802,189.774246,-0.801788
386.32400495,193.860306,-0.9555
386.32411703,195.878387,-0.195503
386.32413003,196.112473,-0.242915
386.32416941,196.821533,-0.908701
386.32440511,201.065506,-0.153198
386.32474598,207.203156,-0.112064
386.32478553,207.915283,-0.875566
386.32497395,211.307938,-0.245138
386.32522306,215.793365,-0.218679
386.32536757,218.395386,-0.184599
386.32558433,222.298325,-1.052456
386.3257748,225.72789,-0.125501
386.32631658,235.483093,-0.257518
386.33198806,337.602722,0.193535
386.33206051,338.907227,0.376097
386.33210613,339.728638,0.473685
386.33217152,340.906067,0.73551
386.33229467,343.123474,0.32582
386.33235966,344.293671,0.491911
386.3324727,346.329041,1.08903
386.33253427,347.437653,1.725098
386.33264415,349.416138,0.910143
386.33275328,351.381104,0.335671
386.33275706,351.449188,0.469683
386.33287793,353.625549,0.475746
386.33295526,355.017944,0.4825
386.33295732,355.055023,0.907887
386.33307055,357.093811,0.844918
386.3331854,359.161774,0.785444
386.33331246,1.449608,0.717819
386.33342983,3.56295,0.340159
386.3334467,3.866708,1.092748
386.33362093,7.003861,0.326673
386.33365138,7.552138,0.544616
386.3337562,9.439508,0.284861
386.33380597,10.335657,0.441054
386.33393058,12.579362,0.859585
386.33405091,14.746002,0.341336
386.33407197,15.125204,0.517507
386.33413142,16.19565,1.183435
386.33425375,18.398302,0.312089
386.334265,18.600866,0.584494
386.33440015,21.034353,0.1605
386.33451256,23.058386,0.298633
386.33453233,23.414362,0.444944
386.33462536,25.089443,0.675882
386.33479726,28.184643,1.226697
386.3349257,30.497309,0.564158
386.33504932,32.723186,0.281445
386.33519307,35.311523,0.598151
386.33531338,37.477802,0.382872
386.33535003,38.137718,0.424721
386.3355753,42.193886,0.373354
386.33572346,44.861629,0.433207
386.3362277,53.94088,1.161022
